tanggal_transaksi,nama_cabang,level,customer_group,nama_barang,brand,harga,kemasan,jumlah_barang
2022-05-25,"APOTEK SINAR JAYA",Company,Apotek,"ACYCLOVIR DUS","OGB & PH",96000,DUS,9
2022-03-28,"APOTEK MAJA",Company,Apotek,"AMBROXOL HC",VNS,31000,BOTOL,18
2022-01-23,"APOTEK TAPAK",Company,Apotek,AMPICILLIN,MARCKS,17000,BOTOL,20
2022-01-28,"APOTEK MERDEKA",Company,Apotek,"TRAMADOL KAPSUL 50 MG",VNS,24500,TABLET,76
2022-01-30,"APOTEK SINAR JAYA",Company,Apotek,"KETOCONAZOLE TABLET 200 MG","OGB & PH",39000,TABLET,5
2022-04-21,"KLINIK GM",Company,Klinik,AMPICILLIN,MARCKS,17000,BOTOL,67
2022-05-01,"KLINIK SAHABAT",Company,Klinik,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",SLCYL,47000,TABLET,8
2022-04-18,"APOTEK SINAR JAYA",Company,Apotek,"ACYCLOVIR DUS","OGB & PH",96000,DUS,22
2022-02-15,"APOTEK SINAR JAYA",Company,Apotek,"ALERGINE TABLET SALUT",ETIKAL,112000,DUS,9
2022-04-19,"KLINIK GM",Company,Klinik,PARACETAMOL,SLCYL,21000,BOTOL,14
2022-02-09,"APOTEK SAHABAT",Company,Apotek,"ALERGINE TABLET SALUT",ETIKAL,112000,DUS,10
2022-05-01,"KLINIK GM",Company,Klinik,PARACETAMOL,SLCYL,21000,BOTOL,67
2022-05-03,"KLINIK SAHABAT",Company,Klinik,"ACYCLOVIR DUS","OGB & PH",96000,DUS,10
2022-01-23,"KLINIK SAHABAT",Company,Klinik,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",SLCYL,47000,TABLET,24
2022-06-16,"APOTEK SINAR JAYA",Company,Apotek,"ALERGINE TABLET SALUT",ETIKAL,112000,DUS,23
2022-05-26,"APOTEK SAHABAT",Company,Apotek,"ALERGINE TABLET SALUT",ETIKAL,112000,DUS,1
2022-02-01,"APOTEK MAJA",Company,Apotek,"ALERGINE TABLET SALUT",ETIKAL,112000,DUS,12
2022-04-06,"KLINIK GM",Company,Klinik,"TETRACYCLINE KAPSUL 250 MG",MARCKS,9800,TABLET,14
2022-05-25,"APOTEK SAHABAT",Company,Apotek,"ERGOTAMINE COFFEINE",ETIKAL,64700,BOTOL,22
2022-01-20,"APOTEK TAPAK",Company,Apotek,"ACYCLOVIR DUS","OGB & PH",96000,DUS,100%
2022-04-09,"APOTEK SINAR JAYA",Company,Apotek,"ACYCLOVIR DUS","OGB & PH",96000,DUS,23
2022-05-01,"APOTEK SINAR JAYA",Company,Apotek,AMPICILLIN,MARCKS,17000,BOTOL,5
2022-06-16,"APOTEK TAPAK",Company,Apotek,"TETRACYCLINE KAPSUL 250 MG",MARCKS,9800,TABLET,7
2022-04-02,"APOTEK SAHABAT",Company,Apotek,"TRAMADOL KAPSUL 50 MG",VNS,24500,TABLET,21
2022-02-04,"APOTEK MAJA",Company,Apotek,"ERGOTAMINE COFFEINE",ETIKAL,64700,BOTOL,14
2022-01-27,"KLINIK DR. ANDRI",Company,Klinik,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",SLCYL,47000,TABLET,9
2022-05-01,"KLINIK SAHABAT",Company,Klinik,PARACETAMOL,SLCYL,21000,BOTOL,5
2022-02-01,"APOTEK TAPAK",Company,Apotek,"TETRACYCLINE KAPSUL 250 MG",MARCKS,9800,TABLET,12
2022-02-12,"KLINIK GM",Company,Klinik,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",SLCYL,47000,TABLET,5
2022-05-02,"APOTEK SINAR JAYA",Company,Apotek,"KETOCONAZOLE TABLET 200 MG","OGB & PH",39000,TABLET,9
2022-01-30,"KLINIK DR. ANDRI",Company,Klinik,"TRAMADOL KAPSUL 50 MG",VNS,24500,TABLET,12
2022-04-28,"KLINIK GM",Company,Klinik,"TETRACYCLINE KAPSUL 250 MG",MARCKS,9800,TABLET,76
2022-05-31,"KLINIK SAHABAT",Company,Klinik,"ACYCLOVIR DUS","OGB & PH",96000,DUS,5
2022-02-25,"APOTEK TAPAK",Company,Apotek,"TETRACYCLINE KAPSUL 250 MG",MARCKS,9800,TABLET,10
2022-06-16,"KLINIK GM",Company,Klinik,AMPICILLIN,MARCKS,17000,BOTOL,5
2022-01-28,"APOTEK SINAR JAYA",Company,Apotek,"ALERGINE TABLET SALUT",ETIKAL,112000,DUS,25
2022-03-21,"APOTEK MAJA",Company,Apotek,"ALERGINE TABLET SALUT",ETIKAL,112000,DUS,34
2022-01-31,"APOTEK SINAR JAYA",Company,Apotek,AMPICILLIN,MARCKS,17000,BOTOL,5
2022-03-09,"KLINIK SAHABAT",Company,Klinik,PARACETAMOL,SLCYL,21000,BOTOL,5
2022-02-01,"APOTEK SAHABAT",Company,Apotek,"TRAMADOL KAPSUL 50 MG",VNS,24500,TABLET,23
2022-04-01,"APOTEK SINAR JAYA",Company,Apotek,AMPICILLIN,MARCKS,17000,BOTOL,14
2022-04-20,"APOTEK SAHABAT",Company,Apotek,"TRAMADOL KAPSUL 50 MG",VNS,24500,TABLET,12
2022-03-11,"APOTEK SAHABAT",Company,Apotek,"ALERGINE TABLET SALUT",ETIKAL,112000,DUS,1
2022-04-19,"APOTEK TAPAK",Company,Apotek,"ACYCLOVIR DUS","OGB & PH",96000,DUS,7
2022-05-23,"KLINIK SAHABAT",Company,Klinik,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",SLCYL,47000,TABLET,9
2022-02-01,"KLINIK SAHABAT",Company,Klinik,PARACETAMOL,SLCYL,21000,BOTOL,15
2022-01-27,"KLINIK DR. ANDRI",Company,Klinik,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",SLCYL,47000,TABLET,12
2022-01-30,"APOTEK MAJA",Company,Apotek,"TRAMADOL KAPSUL 50 MG",VNS,24500,TABLET,7
2022-02-16,"APOTEK SAHABAT",Company,Apotek,AMPICILLIN,MARCKS,17000,BOTOL,21
2022-04-11,"APOTEK TAPAK",Company,Apotek,AMPICILLIN,MARCKS,17000,BOTOL,10
2022-01-23,"APOTEK MERDEKA",Company,Apotek,"ACYCLOVIR DUS","OGB & PH",96000,DUS,98
2022-01-28,"KLINIK GM",Company,Klinik,PARACETAMOL,SLCYL,21000,BOTOL,4
2022-05-01,"KLINIK DR. ANDRI",Company,Klinik,"TRAMADOL KAPSUL 50 MG",VNS,24500,TABLET,10
2022-04-15,"KLINIK SAHABAT",Company,Klinik,"ACYCLOVIR DUS","OGB & PH",96000,DUS,4
2022-06-03,"KLINIK DR. ANDRI",Company,Klinik,"TRAMADOL KAPSUL 50 MG",VNS,24500,TABLET,23
2022-06-12,"APOTEK MAJA",Company,Apotek,"AMBROXOL HC",VNS,31000,BOTOL,34
2022-02-20,"KLINIK GM",Company,Klinik,AMPICILLIN,MARCKS,17000,BOTOL,14
2022-04-25,"APOTEK SAHABAT",Company,Apotek,"ERGOTAMINE COFFEINE",ETIKAL,64700,BOTOL,20
2022-01-27,"APOTEK MAJA",Company,Apotek,"AMBROXOL HC",VNS,31000,BOTOL,23
2022-05-03,"KLINIK SAHABAT",Company,Klinik,"ALERGINE TABLET SALUT",ETIKAL,112000,DUS,45
2022-01-30,"KLINIK GM",Company,Klinik,"TETRACYCLINE KAPSUL 250 MG",MARCKS,9800,TABLET,98
2022-01-23,"APOTEK MERDEKA",Company,Apotek,"ACYCLOVIR DUS","OGB & PH",96000,DUS,13
2022-01-31,"APOTEK TAPAK",Company,Apotek,"ACYCLOVIR DUS","OGB & PH",96000,DUS,10
2022-02-28,"APOTEK MERDEKA",Company,Apotek,"ACYCLOVIR DUS","OGB & PH",96000,DUS,5
2022-01-31,"APOTEK MERDEKA",Company,Apotek,"AMBROXOL HC",VNS,31000,BOTOL,67
2022-03-10,"APOTEK SINAR JAYA",Company,Apotek,"ACYCLOVIR DUS","OGB & PH",96000,DUS,9
2022-05-01,"KLINIK DR. ANDRI",Company,Klinik,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",SLCYL,47000,TABLET,18
2022-01-31,"APOTEK SAHABAT",Company,Apotek,"ERGOTAMINE COFFEINE",ETIKAL,64700,BOTOL,21
2022-06-15,"KLINIK SAHABAT",Company,Klinik,"ALERGINE TABLET SALUT",ETIKAL,112000,DUS,12
2022-04-26,"APOTEK TAPAK",Company,Apotek,"KETOCONAZOLE TABLET 200 MG","OGB & PH",39000,TABLET,12
2022-01-31,"KLINIK GM",Company,Klinik,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",SLCYL,47000,TABLET,25
2022-01-28,"KLINIK GM",Company,Klinik,PARACETAMOL,SLCYL,21000,BOTOL,9
2022-01-31,"KLINIK GM",Company,Klinik,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",SLCYL,47000,TABLET,34
2022-03-23,"APOTEK MERDEKA",Company,Apotek,"TRAMADOL KAPSUL 50 MG",VNS,24500,TABLET,15
2022-01-23,"APOTEK SINAR JAYA",Company,Apotek,"KETOCONAZOLE TABLET 200 MG","OGB & PH",39000,TABLET,5
2022-01-28,"APOTEK SINAR JAYA",Company,Apotek,"ALERGINE TABLET SALUT",ETIKAL,112000,DUS,44
2022-02-01,"APOTEK MERDEKA",Company,Apotek,"KETOCONAZOLE TABLET 200 MG","OGB & PH",39000,TABLET,34
2022-03-13,"APOTEK MAJA",Company,Apotek,"TRAMADOL KAPSUL 50 MG",VNS,24500,TABLET,4
2022-04-20,"APOTEK MAJA",Company,Apotek,"ALERGINE TABLET SALUT",ETIKAL,112000,DUS,100
2022-05-17,"APOTEK SAHABAT",Company,Apotek,AMPICILLIN,MARCKS,17000,BOTOL,10
2022-01-27,"KLINIK GM",Company,Klinik,AMPICILLIN,MARCKS,17000,BOTOL,34
2022-06-07,"APOTEK MERDEKA",Company,Apotek,"TRAMADOL KAPSUL 50 MG",VNS,24500,TABLET,11
2022-02-01,"APOTEK SAHABAT",Company,Apotek,"TRAMADOL KAPSUL 50 MG",VNS,24500,TABLET,22
2022-02-24,"APOTEK SAHABAT",Company,Apotek,"ERGOTAMINE COFFEINE",ETIKAL,64700,BOTOL,12
2022-01-27,"APOTEK SINAR JAYA",Company,Apotek,"ACYCLOVIR DUS","OGB & PH",96000,DUS,12
2022-02-01,"APOTEK TAPAK",Company,Apotek,"TETRACYCLINE KAPSUL 250 MG",MARCKS,9800,TABLET,12
2022-01-28,"APOTEK TAPAK",Company,Apotek,"KETOCONAZOLE TABLET 200 MG","OGB & PH",39000,TABLET,10
2022-01-23,"KLINIK SAHABAT",Company,Klinik,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",SLCYL,47000,TABLET,4
2022-01-27,"APOTEK MAJA",Company,Apotek,"AMBROXOL HC",VNS,31000,BOTOL,12
2022-05-01,"KLINIK GM",Company,Klinik,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",SLCYL,47000,TABLET,14
2022-01-31,"APOTEK SAHABAT",Company,Apotek,"ERGOTAMINE COFFEINE",ETIKAL,64700,BOTOL,6
2022-03-01,"KLINIK SAHABAT",Company,Klinik,"ALERGINE TABLET SALUT",ETIKAL,112000,DUS,4
2022-01-28,"APOTEK TAPAK",Company,Apotek,"KETOCONAZOLE TABLET 200 MG","OGB & PH",39000,TABLET,23
2022-04-27,"APOTEK MAJA",Company,Apotek,"ERGOTAMINE COFFEINE",ETIKAL,64700,BOTOL,95
2022-02-01,"APOTEK TAPAK",Company,Apotek,"TETRACYCLINE KAPSUL 250 MG",MARCKS,9800,TABLET,1
2022-04-27,"APOTEK MAJA",Company,Apotek,"AMBROXOL HC",VNS,31000,BOTOL,34
2022-01-27,"KLINIK GM",Company,Klinik,AMPICILLIN,MARCKS,17000,BOTOL,98
2022-04-16,"APOTEK MERDEKA",Company,Apotek,"AMBROXOL HC",VNS,31000,BOTOL,48
2022-03-24,"KLINIK SAHABAT",Company,Klinik,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",SLCYL,47000,TABLET,12
2022-05-16,"APOTEK SINAR JAYA",Company,Apotek,"ALERGINE TABLET SALUT",ETIKAL,112000,DUS,12
2022-03-30,"APOTEK MERDEKA",Company,Apotek,"ACYCLOVIR DUS","OGB & PH",96000,DUS,12
2022-01-31,"KLINIK GM",Company,Klinik,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",SLCYL,47000,TABLET,34
2022-03-26,"APOTEK SAHABAT",Company,Apotek,"ERGOTAMINE COFFEINE",ETIKAL,64700,BOTOL,14
2022-03-19,"KLINIK DR. ANDRI",Company,Klinik,"TRAMADOL KAPSUL 50 MG",VNS,24500,TABLET,25
2022-04-16,"APOTEK SINAR JAYA",Company,Apotek,"ALERGINE TABLET SALUT",ETIKAL,112000,DUS,8
2022-01-30,"KLINIK GM",Company,Klinik,"TETRACYCLINE KAPSUL 250 MG",MARCKS,9800,TABLET,2
2022-02-01,"APOTEK MAJA",Company,Apotek,"ALERGINE TABLET SALUT",ETIKAL,112000,DUS,67
2022-03-31,"KLINIK SAHABAT",Company,Klinik,"ALERGINE TABLET SALUT",ETIKAL,112000,DUS,25
2022-01-23,"APOTEK SAHABAT",Company,Apotek,AMPICILLIN,MARCKS,17000,BOTOL,14
2022-02-18,"APOTEK TAPAK",Company,Apotek,"ACYCLOVIR DUS","OGB & PH",96000,DUS,12
2022-02-06,"APOTEK MERDEKA",Company,Apotek,"AMBROXOL HC",VNS,31000,BOTOL,10
2022-01-25,"APOTEK SAHABAT",Company,Apotek,"ERGOTAMINE COFFEINE",ETIKAL,64700,BOTOL,9
2022-05-24,"APOTEK SINAR JAYA",Company,Apotek,"KETOCONAZOLE TABLET 200 MG","OGB & PH",39000,TABLET,21
2022-06-11,"APOTEK TAPAK",Company,Apotek,"TETRACYCLINE KAPSUL 250 MG",MARCKS,9800,TABLET,14
2022-03-14,"KLINIK GM",Company,Klinik,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",SLCYL,47000,TABLET,2
2022-05-29,"KLINIK GM",Company,Klinik,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",SLCYL,47000,TABLET,13
2022-05-02,"APOTEK TAPAK",Company,Apotek,"ACYCLOVIR DUS","OGB & PH",96000,DUS,67
2022-01-27,"APOTEK MAJA",Company,Apotek,"AMBROXOL HC",VNS,31000,BOTOL,5
2022-02-19,"APOTEK MAJA",Company,Apotek,"ALERGINE TABLET SALUT",ETIKAL,112000,DUS,25
2022-04-30,"APOTEK MAJA",Company,Apotek,"AMBROXOL HC",VNS,31000,BOTOL,100
2022-03-29,"KLINIK GM",Company,Klinik,PARACETAMOL,SLCYL,21000,BOTOL,19
2022-01-30,"KLINIK GM",Company,Klinik,"TETRACYCLINE KAPSUL 250 MG",MARCKS,9800,TABLET,5
2022-06-01,"APOTEK SINAR JAYA",Company,Apotek,"ALERGINE TABLET SALUT",ETIKAL,112000,DUS,9
2022-04-30,"APOTEK SAHABAT",Company,Apotek,"TRAMADOL KAPSUL 50 MG",VNS,24500,TABLET,20
2022-01-31,"APOTEK SINAR JAYA",Company,Apotek,AMPICILLIN,MARCKS,17000,BOTOL,11
2022-01-27,"KLINIK SAHABAT",Company,Klinik,"ACYCLOVIR DUS","OGB & PH",96000,DUS,15
2022-01-30,"APOTEK MAJA",Company,Apotek,"TRAMADOL KAPSUL 50 MG",VNS,24500,TABLET,45
2022-05-02,"APOTEK SINAR JAYA",Company,Apotek,"ACYCLOVIR DUS","OGB & PH",96000,DUS,21
2022-04-30,"APOTEK MERDEKA",Company,Apotek,"TRAMADOL KAPSUL 50 MG",VNS,24500,TABLET,4
2022-01-30,"KLINIK SAHABAT",Company,Klinik,"ALERGINE TABLET SALUT",ETIKAL,112000,DUS,24
2022-01-30,"KLINIK DR. ANDRI",Company,Klinik,"TRAMADOL KAPSUL 50 MG",VNS,24500,TABLET,21
2022-06-16,"APOTEK TAPAK",Company,Apotek,AMPICILLIN,MARCKS,17000,BOTOL,12
2022-03-06,"APOTEK MAJA",Company,Apotek,"ERGOTAMINE COFFEINE",ETIKAL,64700,BOTOL,9
2022-05-26,"APOTEK TAPAK",Company,Apotek,"TETRACYCLINE KAPSUL 250 MG",MARCKS,9800,TABLET,12
2022-05-03,"APOTEK MAJA",Company,Apotek,"ERGOTAMINE COFFEINE",ETIKAL,64700,BOTOL,34
2022-01-27,"APOTEK SINAR JAYA",Company,Apotek,"ACYCLOVIR DUS","OGB & PH",96000,DUS,12
2022-02-27,"KLINIK GM",Company,Klinik,PARACETAMOL,SLCYL,21000,BOTOL,98
2022-05-03,"APOTEK SAHABAT",Company,Apotek,"ERGOTAMINE COFFEINE",ETIKAL,64700,BOTOL,10
2022-01-28,"APOTEK TAPAK",Company,Apotek,"KETOCONAZOLE TABLET 200 MG","OGB & PH",39000,TABLET,67
2022-05-22,"KLINIK GM",Company,Klinik,"TETRACYCLINE KAPSUL 250 MG",MARCKS,9800,TABLET,5
2022-01-27,"KLINIK GM",Company,Klinik,AMPICILLIN,MARCKS,17000,BOTOL,19
2022-01-28,"KLINIK GM",Company,Klinik,PARACETAMOL,SLCYL,21000,BOTOL,14
2022-02-01,"APOTEK MERDEKA",Company,Apotek,"KETOCONAZOLE TABLET 200 MG","OGB & PH",39000,TABLET,14
2022-05-21,"APOTEK MAJA",Company,Apotek,"ERGOTAMINE COFFEINE",ETIKAL,64700,BOTOL,98
2022-01-30,"APOTEK SINAR JAYA",Company,Apotek,"KETOCONAZOLE TABLET 200 MG","OGB & PH",39000,TABLET,21
2022-06-16,"KLINIK GM",Company,Klinik,"TETRACYCLINE KAPSUL 250 MG",MARCKS,9800,TABLET,12
2022-01-27,"KLINIK GM",Company,Klinik,AMPICILLIN,MARCKS,17000,BOTOL,95
2022-01-23,"APOTEK TAPAK",Company,Apotek,AMPICILLIN,MARCKS,17000,BOTOL,14
